"Data Source","World Development Indicators",
"Last Updated Date","2024-03-28",
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Broad money (current LCU)","FM.LBL.BMNY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","281100000","315700000","447900000","526100000","649100000","761200000","889392000","1000642000","1064622000","1198663000","1261308000","1301056000","1360779000","1538793000","1699089000","1738261000","1840600000","2033600000","2214100000","2285300000","2426800000","2484400000","2566400000","2991500000","3163500000","3154600000","3158600000","3419200000","3292000000","3476300000","3804900000","4166400000","4239900000","4376900000","4569400000","4797400000","5365500000","5543800000","",
"Africa Eastern and Southern","AFE","Broad money (current LCU)","FM.LBL.BMNY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Broad money (current LCU)","FM.LBL.BMNY.CN","3255000000","3590000000","4230000000","4889000000","6008000000","7055000000","7061000000","7035000000","8213500000","9692000000","10391000000","11566000000","13178000000","14183500000","16094500000","18099200000","22478500000","28771600000","33450700000","39660500000","46344600000","54431650000","64206870000","","81909450000","90435820000","101586160000","153080670000","205940700000","282461360000","397125350000","","","","","","","","","","","","","","","","81247948057","115693148892.643","152002075158.01","202231264209.68","256726781225.915","311433123272.22","338614163696.319","372186008444.944","402465467443.899","414857467601.458","455204132993.234","473836889824.235","486034180057.016","513759321225.071","575737944323.098","","","",
"Africa Western and Central","AFW","Broad money (current LCU)","FM.LBL.BMNY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Broad money (current LCU)","FM.LBL.BMNY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5478652.043","230408701.1","396174648.9","624561942.9","3923462686.65","15840411639.28","41660774283.56","106793512283.318","179518093989.351","266677656751.023","428566980082.89","685068282991.18","1023638868705.59","2094018359082.65","2543723059447.95","2678230070993.43","3673111017825.33","3853026880550.06","4398099013490.82","5110115937912.13","5711899207270.5","6481191627242.24","6521728175616.89","7853990709603.33","10219150743838.9","12702482594317.2","11518313051477.5","11355539908168.4","",
"Albania","ALB","Broad money (current LCU)","FM.LBL.BMNY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70774400000","107449600000","154552000000","198546800000","239525582000","292870584000","328100755000","393413986960.13","408129153406.365","443527430907.014","503231628092.823","574314175624.68","666470000000","757610000000","815700000000","871470000000","980280000000","1070150000000","1123410000000","1148980000000","1195090000000","1216180000000","1263460000000","1266930000000","1264130000000","1318660000000","1456990000000","1582310000000","1659293467665.47","",
"Andorra","AND","Broad money (current LCU)","FM.LBL.BMNY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Broad money (current LCU)","FM.LBL.BMNY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Broad money (current LCU)","FM.LBL.BMNY.CN","","","","","","","","","","","","","","2256600000","6035500000","8820200000","16753600000","15539500000","17575700000","18222400000","23526600000","29093600000","33646300000","36341900000","46869600000","49886500000","52076200000","54940000000","58156300000","63188000000","58008000000","66444000000","69511000000","68415000000","73818000000","81361000000","86942000000","94805000000","98784000000","110099000000","126969000000","154835000000","171128000000","197096000000","243886000000","318627000000","392871000000","555551000000","673723000000","728156000000","773863000000","813169000000","849656000000","1042904000000","1125428000000","1186817000000","1225455000000","1276139000000","1308432000000","1413166000000","1478607000000","1563025000000","1703625000000","",
"Argentina","ARG","Broad money (current LCU)","FM.LBL.BMNY.CN","0.0278","0.0277","0.0305","0.0406","0.0574","0.0729","0.0959","0.1475","0.1889","0.2284","0.276","0.3","0.63","1.1","1.7","4.3","19.5","63.8","173.9","499.8","958.4","1749.85","4642.1","23021.3","173802.9","917943.4","1955360.1","5145383.2","27929433.6","652203080","7913000000","19097000000","31030000000","45453000000","53471032000","51970875000","61752085000","77520318000","85650721000","89150058000","90514975371.93","72922287000","87294434000","113164011000","137412015000","166974724000","200808370000","249937394000","270094095000","316009865000","420633113000","530130908000","714733699000","908291162000","1179231215000","1645874946000","2329711615000","3039307607000","4480033438000","5636369419000","9380485436000","14188312678000","26233998258968.5","",
