"Data Source","World Development Indicators",
"Last Updated Date","2024-03-28",
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Broad money to total reserves ratio","FM.LBL.BMNY.IR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","1.56466212813874","1.96809394122346","2.22752369945917","2.85150348607394","3.11699330534373","3.20662819687735","3.18646722201939","2.69971583284294","3.10142479252582","2.75956584535481","3.23697667449421","3.77557351908618","3.42535321863211","3.81309069372959","4.12433599085285","3.19973297892776","3.03764833200827","3.67099913814504","3.76360136846015","4.17394784188132","3.45781993577774","3.14792110334821","2.41551104945472","2.57262784803576","2.4866831184185","2.55819433664041","2.48518368223946","2.81565941295465","2.85450751025007","2.60559082982311","2.52300202687261","2.61121079588688","2.49446704196868","2.59873504038237","2.21025793017675","1.9812060324013","2.00596771153418","",
"Africa Eastern and Southern","AFE","Broad money to total reserves ratio","FM.LBL.BMNY.IR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Broad money to total reserves ratio","FM.LBL.BMNY.IR.ZS","1.42695189922695","1.87957869165093","2.31572153202224","2.38528412885901","2.99220234459573","3.45062828335474","3.33045261681199","4.05757078687458","4.00357584859381","5.20568134698885","4.66591439966698","3.80131510900637","3.60248082378573","2.4969380799119","1.77535006096307","1.85125090323016","1.9474127127921","1.48332063311224","1.22861671384422","0.970884980080462","1.11793377526649","1.67147204172895","1.81620389187557","","3.07622789051786","2.92629527839025","3.15793383344012","4.05085192662084","6.19464026378841","8.85143009236444","12.3028864906373","","","","","","","","","","","","","","","","","","0.980675513927623","0.96226112136308","1.08580835938656","1.02779318808296","0.916101572317091","0.903350792222344","0.931385879048244","0.930471595458292","0.926061762074407","0.853713813662743","0.805298940933152","0.7734060099714","0.767786310995942","","","",
"Africa Western and Central","AFW","Broad money to total reserves ratio","FM.LBL.BMNY.IR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Broad money to total reserves ratio","FM.LBL.BMNY.IR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.85070635046276","3.24337361203691","4.42234012366443","7.8539156706602","2.86101473732875","1.31666536735528","2.58066860859481","6.53267507868963","3.79408345402385","2.31385223968253","1.53809585266222","1.04602423950617","1.19185292970127","1.56176567053278","2.34672087407752","1.48084560194185","1.4461219345169","1.29515627955253","1.40030256707421","1.79440261217412","1.55748656091736","0.872866656480822","1.35879988092337","1.58002384345239","1.46236154034619","1.41014129310622","1.18883470497264","1.663746818565","",
"Albania","ALB","Broad money to total reserves ratio","FM.LBL.BMNY.IR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.34515406672948","4.36920790345573","4.5735552383277","3.95244976248094","3.79158111360769","4.05403192305158","3.52519090130135","3.55382067363077","3.35470946219529","3.53685198016708","3.53150341746171","3.9946056839828","3.74753883523348","3.87525541124282","4.11326977554731","3.87323959910094","3.71220920368464","4.29168565388405","3.99414674503638","3.92076454267117","4.25106858010078","3.07634356190395","3.27397366862978","2.96427763660009","3.00652397780484","3.18947331160269","2.78365482017412","2.71273402231851","2.78718351486673","",
"Andorra","AND","Broad money to total reserves ratio","FM.LBL.BMNY.IR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Broad money to total reserves ratio","FM.LBL.BMNY.IR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Broad money to total reserves ratio","FM.LBL.BMNY.IR.ZS","","","","","","","","","","","","","","6.15626968506739","3.3661660781392","2.25391842315622","2.14056955818535","4.4528235234285","4.81918330934987","2.7646092152852","2.69512150940802","2.2829451562559","3.54032967626528","4.15229553447464","5.02879149788867","3.914548440677","3.84509905457451","2.92250879104564","3.32207015672185","3.6037749795342","3.23105621554262","3.20529437743965","3.16791994930733","2.90501136009948","2.8876842928252","2.84933131074242","2.83628906281097","3.00188704886688","2.89046494976761","2.77835692060675","2.53622872846429","2.95737013973521","3.03457063007577","3.55704815662346","3.58386329561153","4.12941567867574","3.87350978253157","1.95851456720599","5.78810345899153","7.59542733490327","6.42722085641717","5.9411095282303","4.91879572364026","4.16371768487191","3.90755237928697","3.44050057593152","3.90772789230595","3.64325496494039","3.58056624768539","3.55111674680476","3.77328958231173","3.24598187355529","3.3509783056069","",
"Argentina","ARG","Broad money to total reserves ratio","FM.LBL.BMNY.IR.ZS","","","","","","","","","","","","","","","","","","","","","","","","8.10530965795066","9.58461166793328","3.25328829200481","4.69839553928599","6.43921917862902","6.18894262656998","4.78915970249545","2.60828138727005","2.68384584459822","2.73635332556354","2.93549471476211","3.34125753092155","3.25235618002825","3.13160052048298","3.45693201508309","3.44591296771767","3.38328291762237","3.59870202942993","5.00992907685032","2.60106230029071","2.71301014684292","2.37240038969871","2.02853077465431","2.03706214277658","1.73606400058084","1.83125077635224","1.75638520012693","2.05397958799447","2.78783091175737","3.42250937803823","4.90428751510706","4.31509686727512","6.44160920883256","4.10935929933114","3.31745514677699","2.40798245245351","2.60833786735274","3.37487429493664","3.76676008510258","4.48367012248163","",
